Movie Name,Year,City,State,Type
Super Mario Bros. ,1993,Davis                       ,CA,Action
Surviving the Game ,1994,Toronto,Ontario,Action
Terminal Velocity ,1994,Pasadena                    ,CA,Action
Thirty-Two Short Films About Glenn Gould ,1993,Buffalo Grove               ,IL,Drama
Threesome ,1994,London,England,Comedy
"Nightmare Before Christmas, The ",1993,Newcastle,Wicklow,Animation
"Three Musketeers, The ",1993,Norwalk                     ,CT,Action
Tombstone ,1993,Besancon,Franche-Comte,Action
True Romance ,1993,Monte-Carlo, ,Crime
"War Room, The ",1993,Monaco, ,Documentary
"Pagemaster, The ",1994,Floyds Knobs                ,IN,Action
Welcome to the Dollhouse ,1995,London,England,Comedy
Germinal ,1993,Marietta                    ,GA,Drama
Chasers ,1994,Marietta                    ,GA,Comedy
Kika ,1993,Hon                         ,HI,Comedy
Bhaji on the Beach ,1993,Knoxville                   ,TN,Comedy
Little Big League ,1994,Knoxville                   ,TN,Comedy
"Ciao, Professore! ",Io speriamo che me la cavo,Edinburgh,Scotland,Drama
Spanking the Monkey ,1994,Paris,Ile-de-France,Comedy
"Little Rascals, The ",1994,Humble                      ,TX,Children
Andre ,1994,Mashpee                     ,MA,Adventure
"Escort, The ","Scorta, La",Hong Kong, ,Crime
Princess Caraboo ,1994,Birmingham                  ,MI,Drama
"Celluloid Closet, The ",1995,St Augustine                ,FL,Documentary
Dear Diary ,Caro Diario,Salt Lake City              ,UT,Comedy
"Brady Bunch Movie, The ",1995,Seattle                     ,WA,Comedy
Home Alone ,1990,Ruti,Zurich,Children
Ghost ,1990,Rogers                      ,AR,Comedy
Aladdin ,1992,Rogers                      ,AR,Adventure
Terminator 2: Judgment Day ,1991,Dun Laoghaire,Dublin,Action
Dances with Wolves ,1990,Perth,Scotland,Adventure
Batman ,1989,London,England,Action
"Silence of the Lambs, The ",1991,Gries,Rhineland-Palatinate,Crime
Snow White and the Seven Dwarfs ,1937,Pietermaritzburg,KwaZulu-Natal,Animation
Beauty and the Beast ,1991,Sutton Valence,England,Animation
Pinocchio ,1940,Lyngby,Kobenhavn,Animation
Pretty Woman ,1990,Alpine                      ,NJ,Comedy
"Wild Bunch, The ",1969,Zurich,Zurich,Adventure
Love and a .45 ,1994,Saskatoon,Saskatchewan,Action
"Great Day in Harlem, A ",1994,Pacific Palisades           ,CA,Documentary
One Fine Day ,1996,Fort Saint James,British Columbia,Drama
Candyman: Farewell to the Flesh ,1995,Versoix,Geneve,Fantasy
Fargo ,1996,Trumansburg                 ,NY,Comedy
Homeward Bound II: Lost in San Francisco ,1996,Kennett Square              ,PA,Adventure
Heavy Metal ,1981,San Jose                    ,CA,Action
Hellraiser: Bloodline ,1996,Ban Khlong Sip,Krung Thep,Action
"Pallbearer, The ",1996,Morro Bay                   ,CA,Comedy
Jane Eyre ,1996,Parramatta,New South Wales,Drama
Bread and Chocolate ,Pane e cioccolata,Dumbleton,England,Comedy
"Aristocats, The ",1970,Altlengbach,Lower Austria,Animation
"Flower of My Secret, The ",La flor de mi secreto,Ballincollig,Cork,Comedy
Two Much ,1995,Ballincollig,Cork,Comedy
Ed ,1996,Zagore,Stara Zagora,Comedy
"Thin Line Between Love and Hate, A ",1996,Vecmilgravis,Riga,Comedy
"Last Supper, The ",1995,Trelex,Vaud,Drama
Primal Fear ,1996,Ornex,Rhone-Alpes,Crime
All Dogs Go to Heaven 2 ,1996,Las Vegas                   ,NV,Adventure
Land and Freedom ,Tierra y libertad,San Anselmo                 ,CA,Drama
Denise Calls Up ,1995,Hannover,Lower Saxony,Comedy
Theodore Rex ,1995,N Woodmere                  ,NY,Comedy
"Family Thing, A ",1996,Madrid,Madrid,Comedy
Frisk ,1995,Castlebar,Mayo,Drama
Sgt. Bilko ,1996,Fairfax                     ,CA,Comedy
Jack and Sarah ,1995,Chandler                    ,AZ,Romance
Girl 6 ,1996,Dammeron Valley             ,UT,Comedy
Diabolique ,1996,Buffalo                     ,NY,Drama
Nelly & Monsieur Arnaud ,1995,Olive Branch                ,MS,Drama
Courage Under Fire ,1996,Warwick                     ,NY,Action
Mission: Impossible ,1996,Gisborne,Victoria,Action
Cold Fever ,Á köldum klaka,San Mateo                   ,CA,Comedy
Moll Flanders ,1996,Milton Keynes,England,Drama
Dragonheart ,1996,Kecskemet,Bacs-Kiskun,Action
Eddie ,1996,Nakskov,Storstrom,Comedy
James and the Giant Peach ,1996,Aloma                       ,FL,Adventure
Fear ,1996,Chandler                    ,AZ,Thriller
Kids in the Hall: Brain Candy ,1996,Kjobenhavn,Staden Kobenhavn,Comedy
Underground ,1995,Stockton,England,Comedy
Bloodsport 2 ,a.k.a. Bloodsport II: The Next Kumite,Cumming                     ,GA,Action
Song of the Little Road ,Pather Panchali,Little Compton              ,RI,Drama
"World of Apu, The ",Apur Sansar,Centennial                  ,CO,Drama
Mystery Science Theater 3000: The Movie ,1996,Centennial                  ,CO,Comedy
Space Jam ,1996,Herndon                     ,VA,Adventure
Barbarella ,1968,Vista                       ,CA,Adventure
Some Folks Call It a Sling Blade ,1993,Oostburg                    ,WI,Drama
"Run of the Country, The ",1995,Griffith,New South Wales,Drama
Alphaville ,"Alphaville, une étrange aventure de Lemmy Caution",Ann Arbor                   ,MI,Drama
It's My Party ,1996,South Jordan                ,UT,Drama
Operation Dumbo Drop ,1995,Dubai,Dubayy,Action
Mrs. Winterbourne ,1996,Dubai,Dubayy,Comedy
Solo ,1996,Kirriemuir,Scotland,Action
"Substitute, The ",1996,Tramore,Waterford,Action
True Crime ,1996,Gdansk,Pomorskie,Mystery
Feeling Minnesota ,1996,Arklow,Wicklow,Drama
Delta of Venus ,1995,Lincoln                     ,NE,Drama
Angus ,1995,Tierp,Uppsala,Comedy
Boys ,1996,Brussels,Brussels (Bruxelles),Drama
"Quest, The ",1996,Burr Oak                    ,IA,Action
Sunset Park ,1996,Wheaton                     ,IL,Drama
Mulholland Falls ,1996,Killeen                     ,TX,Crime
"Truth About Cats & Dogs, The ",1996,Manhattan                   ,NY,Comedy
Oliver & Company ,1988,Oxford,England,Adventure
Celtic Pride ,1996,Paris,Ile-de-France,Comedy
Flipper ,1996,Exeter,England,Adventure
Dead Man ,1995,Rungsted,Frederiksborg,Drama
"Horseman on the Roof, The ","Hussard sur le toit, Le",London,England,Drama
"Visitors, The ","Visiteurs, Les",Borja,Bohol,Comedy
Multiplicity ,1996,London,England,Comedy
Wallace & Gromit: The Best of Aardman Animation ,1996,Jamestown                   ,RI,Adventure
"Haunted World of Edward D. Wood Jr., The ",1996,Owings Mills                ,MD,Documentary
"Craft, The ",1996,Hamilton,Ontario,Drama
"Great White Hype, The ",1996,Anchorage                   ,AK,Comedy
Last Dance ,1996,Mornington,Meath,Drama
Cold Comfort Farm ,1995,Fullerton                   ,CA,Comedy
Heaven's Prisoners ,1996,Atlanta                     ,GA,Crime
"Rock, The ",1996,Toronto,Ontario,Action
Cemetery Man ,Dellamorte Dellamore,Liverpool,England,Horror
Twister ,1996,Ponte San Nicolo,Veneto,Action
Barb Wire ,1996,Las Vegas                   ,NV,Action
Ghost in the Shell ,Kôkaku kidôtai,Rochester Hills             ,MI,Animation
Thinner ,1996,North Bay,Ontario,Horror
Spy Hard ,1996,Lindfield,New South Wales,Comedy
Wallace & Gromit: A Close Shave ,1995,Madrid,Madrid,Animation
"Stupids, The ",1996,Wisconsin Rapids            ,WI,Comedy
"Arrival, The ",1996,Austin                      ,TX,Action
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb ,1964,Chicago                     ,IL,Comedy
Ashes of Time ,Dung che sai duk,Las Vegas                   ,NV,Drama
Maya Lin: A Strong Clear Vision ,1994,Mullingar,Westmeath,Documentary
Stalingrad ,1993,Melbourne,Victoria,Drama
"Phantom, The ",1996,Ayacucho,Buenos Aires,Action
Striptease ,1996,Eagan                       ,MN,Comedy
Heavy ,1995,Vossevangen,Hordaland,Drama
Jack ,1996,Ferney-Voltaire,Rhone-Alpes,Comedy
I Shot Andy Warhol ,1996,Sevilla,Andalucia,Drama
Touki Bouki ,1973,Munchengosserstadt,Thuringia,Drama
Spirits of the Dead ,1968,Lindenhurst                 ,NY,Horror
Trainspotting ,1996,Bloomfield                  ,MI,Comedy
'Til There Was You ,1997,Calgary,Alberta,Drama
Independence Day ,a.k.a. ID4,Vancouver,British Columbia,Action
Stealing Beauty ,1996,Klampenborg,Kobenhavn,Drama
"Fan, The ",1996,Calne,England,Drama
"Hunchback of Notre Dame, The ",1996,Los Angeles                 ,CA,Animation
"Cable Guy, The ",1996,Milano,Lombardy,Comedy
Kingpin ,1996,Kloten,Zurich,Comedy
Eraser ,1996,Fayetteville                ,NC,Action
"Nutty Professor, The ",1996,Simpsonville                ,SC,Comedy
"Unforgettable Summer, An ",Un été inoubliable,Auckland,Auckland,Drama
"Last Klezmer: Leopold Kozlowski, His Life and Music, The ",1994,Reading,England,Documentary
Somebody to Love ,1994,North Caldwell              ,NJ,Drama
Daylight ,1996,Coventry,England,Action
"Frighteners, The ",1996,Orillia,Ontario,Comedy
Lone Star ,1996,Paris,Ile-de-France,Drama
Harriet the Spy ,1996,San Jose                    ,CA,Children
Phenomenon ,1996,Ingelheim-Mitte,Rhineland-Palatinate,Drama
Walking and Talking ,1996,Leamington Spa,England,Comedy
She's the One ,1996,Regensdorf,Zurich,Comedy
"Time to Kill, A ",1996,Melbourne,Victoria,Drama
American Buffalo ,1996,Geneve,Geneve,Crime
Alaska ,1996,Vaucluse,New South Wales,Adventure
Fled ,1996,Klosterneuburg,Lower Austria,Action
Kazaam ,1996,Rancho Cordova              ,CA,Children
Larger Than Life ,1996,Creemore,Ontario,Comedy
"Very Brady Sequel, A ",1996,Sidcup,England,Comedy
"Collector, The ",La collectionneuse,Minneapolis                 ,MN,Drama
Kaspar Hauser ,1993,Phoenix                     ,MD,Drama
"Adventures of Pinocchio, The ",1996,Edmonton,Alberta,Adventure
Joe's Apartment ,1996,Lyndoch,South Australia,Comedy
"First Wives Club, The ",1996,Larchmont                   ,NY,Comedy
Ransom ,1996,Saint Charles               ,IL,Crime
High School High ,1996,Brentwood                   ,TN,Comedy
Foxfire ,1996,Pensacola                   ,FL,Drama
Chain Reaction ,1996,Kelowna,British Columbia,Action
Matilda ,1996,Toronto,Ontario,Children
Emma ,1996,Brondby Strand,Kobenhavn,Comedy
"Crow: City of Angels, The ",1996,Florence,Tuscany,Action
House Arrest ,1996,Perth,Western Australia,Children
Eyes Without a Face ,"Yeux sans visage, Les",Saint Petersburg            ,FL,Horror
Tales from the Crypt Presents: Bordello of Blood ,1996,Aubonne,Vaud,Comedy
"Spitfire Grill, The ",1996,Gava,Catalonia,Drama
Escape from L.A. ,1996,Mc Lean                     ,VA,Action
Basquiat ,1996,Hendersonville              ,TN,Drama
Tin Cup ,1996,Zurich,Zurich,Comedy
"Godfather, The ",1972,Watford,England,Crime
Supercop ,Police Story 3: Supercop,Amsterdam,Noord-Holland,Action
Bound ,1996,Rochester Hills             ,MI,Crime
Carpool ,1996,Anglesea,Victoria,Comedy
Kansas City ,1996,Killarney,New Providence,Crime
Gone Fishin' ,1997,Malibu                      ,CA,Comedy
Nothing to Lose ,1994,Allen                       ,TX,Action
Supercop 2 ,Project S,Evires,Rhone-Alpes,Action
"Relic, The ",1997,Den Haag,Zuid-Holland,Horror
"Island of Dr. Moreau, The ",1996,Perth City,Western Australia,Sci-Fi
First Kid ,1996,Redruth,England,Children
"Trigger Effect, The ",1996,Bruxelles,Brussels (Bruxelles),Drama
Bogus ,1996,London,England,Children
Bulletproof ,1996,Montreal,Quebec,Action
Land Before Time III: The Time of the Great Giving ,1995,Miami Beach                 ,FL,Adventure
1-900 ,6,Shankill,Dublin,Drama
Halloween: The Curse of Michael Myers ,Halloween 6: The Curse of Michael Myers,Oxford,England,Horror
Twelfth Night ,1996,New York                    ,NY,Comedy
Mother Night ,1996,Melbourne,Victoria,Drama
Wild Reeds ,Les roseaux sauvages,Woodland Hills              ,CA,Drama
For Whom the Bell Tolls ,1943,Anchorage                   ,AK,Adventure
"Philadelphia Story, The ",1940,Yorba Linda                 ,CA,Comedy
Singin' in the Rain ,1952,Waiwera,Auckland,Comedy
"American in Paris, An ",1951,Jamaica Plain               ,MA,Musical
Funny Face ,1957,Oslo,Oslo,Comedy
Breakfast at Tiffany's ,1961,Setagaya,Tokyo,Drama
Vertigo ,1958,Donauworth,Bayern,Drama
Rear Window ,1954,Bandon,Cork,Mystery
It Happened One Night ,1934,Ehingen an der Donau,Baden-Wurttemberg,Comedy
Gaslight ,1944,Paris,Ile-de-France,Drama
"Gay Divorcee, The ",1934,Banbury,England,Comedy
North by Northwest ,1959,Beverly Hills               ,CA,Action
"Apartment, The ",1960,Danderyd,Stockholm,Comedy
Some Like It Hot ,1959,Sebastopol                  ,CA,Comedy
Charade ,1963,Glendora                    ,CA,Comedy
Casablanca ,1942,Nacka,Stockholm,Drama
"Maltese Falcon, The ",1941,Canterbury,England,Film-Noir
My Fair Lady ,1964,Neuchatel,Neuchatel,Comedy
Sabrina ,1954,Billings                    ,MT,Comedy
Roman Holiday ,1953,Libertyville                ,IL,Comedy
"Little Princess, The ",1939,Temecula                    ,CA,Children
Meet Me in St. Louis ,1944,Boise                       ,ID,Musical
"Wizard of Oz, The ",1939,Rock Hill                   ,SC,Adventure
Gone with the Wind ,1939,Mililani                    ,HI,Drama
My Favorite Year ,1982,Scamander,Tasmania,Comedy
Sunset Blvd. ,a.k.a. Sunset Boulevard,Freeport City,Freeport,Drama
Citizen Kane ,1941,North Vancouver,British Columbia,Drama
2001: A Space Odyssey ,1968,Ludwigsburg,Baden-Wurttemberg,Adventure
All About Eve ,1950,Rockingham,Western Australia,Drama
"Women, The ",1939,Basel,Basel-Town,Comedy
Rebecca ,1940,Den Haag,Zuid-Holland,Drama
Foreign Correspondent ,1940,Westminster                 ,CO,Drama
Notorious ,1946,Penclawdd,Wales,Film-Noir
Spellbound ,1945,Ede,Gelderland,Mystery
"Affair to Remember, An ",1957,Plan-les-Ouattes,Geneve,Drama
To Catch a Thief ,1955,Stocksund,Stockholm,Crime
Father of the Bride ,1950,Stuttgart,Baden-Wurttemberg,Comedy
"Band Wagon, The ",1953,Tunbridge Wells,England,Comedy
Ninotchka ,1939,Issaquah                    ,WA,Comedy
Love in the Afternoon ,1957,Burnaby,British Columbia,Comedy
Gigi ,1958,Cypress                     ,CA,Musical
"Adventures of Robin Hood, The ",1938,Lititz                      ,PA,Action
"Mark of Zorro, The ",1940,London,England,Adventure
Laura ,1944,Chadds Ford                 ,PA,Crime
"Ghost and Mrs. Muir, The ",1947,St Thomas                   ,VI,Drama
Lost Horizon ,1937,Coppell                     ,TX,Drama
Top Hat ,1935,Ladera Ranch                ,CA,Comedy
To Be or Not to Be ,1942,Rathfarnham,Dublin,Comedy
My Man Godfrey ,1936,Cagliari,Sardinia,Comedy
Giant ,1956,Charlottenlund,Kobenhavn,Drama
East of Eden ,1955,Munchen,Bayern,Drama
"Thin Man, The ",1934,Firenze,Tuscany,Comedy
His Girl Friday ,1940,Baile Atha Bui,Meath,Comedy
Around the World in 80 Days ,1956,Chamonix-Mont-Blanc,Rhone-Alpes,Adventure
It's a Wonderful Life ,1946,Gingins,Vaud,Children
Mr. Smith Goes to Washington ,1939,Boca Raton                  ,FL,Drama
Bringing Up Baby ,1938,Chaska                      ,MN,Comedy
Penny Serenade ,1941,Hghlnds Ranch               ,CO,Drama
Of Human Bondage ,1934,Atlanta                     ,GA,Drama
Little Lord Fauntleroy ,1936,Tenafly                     ,NJ,Drama
"Inspector General, The ",1949,Aberdeen,Scotland,Musical
"39 Steps, The ",1935,Djurgarden,Stockholm,Drama
Night of the Living Dead ,1968,Nashville                   ,TN,Horror
"African Queen, The ",1951,Munich,Bayern,Adventure
Beat the Devil ,1953,Utrecht,Utrecht,Adventure
Cat on a Hot Tin Roof ,1958,Boyceville                  ,WI,Drama
Meet John Doe ,1941,Basauri,Pais Vasco,Comedy
"Farewell to Arms, A ",1932,Melbourne,Victoria,Romance
Nothing Personal ,1995,Kemerburgaz,Istanbul,Drama
Dangerous Ground ,1997,Worcester,England,Drama
Picnic ,1955,Thurles,Tipperary,Drama
"Pompatus of Love, The ",1996,Den Haag,Zuid-Holland,Comedy
Fly Away Home ,1996,Cos Cob                     ,CT,Adventure
Bliss ,1997,Bern,Bern,Drama
Grace of My Heart ,1996,Leicester,England,Comedy
Maximum Risk ,1996,Cornwall,Ontario,Action
Michael Collins ,1996,Sterling                    ,VA,Drama
Infinity ,1996,Cork,Cork,Drama
Big Night ,1996,Mount Forest,Ontario,Comedy
Last Man Standing ,1996,Ridgefield                  ,CT,Action
Set It Off ,1996,Porto Alegre,Rio Grande do Sul,Action
2 Days in the Valley ,1996,Cartierville,Quebec,Crime
Extreme Measures ,1996,Stuttgart,Baden-Wurttemberg,Drama
"Glimmer Man, The ",1996,Manhattan                   ,NY,Action
D3: The Mighty Ducks ,1996,Sneem,Kerry,Children
"Chamber, The ",1996,Alpharetta                  ,GA,Drama
"Apple Dumpling Gang, The ",1975,Sainte-Therese-de-Blainville,Quebec,Children
"Davy Crockett, King of the Wild Frontier ",1955,Germantown                  ,TN,Adventure
Escape to Witch Mountain ,1975,Castleknock,Dublin,Adventure
"Love Bug, The ",1969,Hono                        ,HI,Children
Herbie Rides Again ,1974,New Rochelle                ,NY,Children
Old Yeller ,1957,Calgary,Alberta,Children
"Parent Trap, The ",1961,South Waterford             ,ME,Children
Pollyanna ,1960,Washington Township         ,OH,Children
Homeward Bound: The Incredible Journey ,1993,Guelph,Ontario,Adventure
"Shaggy Dog, The ",1959,Bunbury,Western Australia,Children
Swiss Family Robinson ,1960,Mettlach,Saarland,Adventure
That Darn Cat! ,1965,Oberwil,Basel-Country,Children
"20,000 Leagues Under the Sea ",1954,Beykoz,Istanbul,Adventure
Cool Runnings ,1993,Arc-et-Senans,Franche-Comte,Comedy
Angels in the Outfield ,1994,Grossbodungen,Thuringia,Children
Cinderella ,1950,Bruxelles,Brussels (Bruxelles),Animation
Winnie the Pooh and the Blustery Day ,1968,Kilcornan,Limerick,Animation
"Three Caballeros, The ",1945,Wilmington                  ,NC,Animation
"Sword in the Stone, The ",1963,Aix-en-Provence,Provence-Alpes-Cote d'Azur,Animation
Robin Hood: Prince of Thieves ,1991,Lidingo,Stockholm,Adventure
Mary Poppins ,1964,Edmonton,Alberta,Children
Dumbo ,1941,Antibes,Provence-Alpes-Cote d'Azur,Animation
Pete's Dragon ,1977,Seattle                     ,WA,Adventure
Bedknobs and Broomsticks ,1971,Rowayton                    ,CT,Adventure
Alice in Wonderland ,1951,Simcoe,Ontario,Adventure
"Fox and the Hound, The ",1981,Lebanon                     ,PA,Animation
Freeway ,1996,Birkdale,Queensland,Comedy
"Sound of Music, The ",1965,Brisbane,Queensland,Musical
Die Hard ,1988,Strasbourg,Alsace,Action
"Lawnmower Man, The ",1992,Suchdol,Prague,Action
"Secret Agent, The ",1996,Stuttgart,Baden-Wurttemberg,Drama
Secrets & Lies ,1996,Villanova                   ,PA,Drama
That Thing You Do! ,1996,Norrkoping,Ostergotland,Comedy
To Gillian on Her 37th Birthday ,1996,Zumikon,Zurich,Drama
Beautiful Thing ,1996,Balgach,St Gallen,Drama
"Long Kiss Goodnight, The ",1996,Las Vegas                   ,NV,Action
"Ghost and the Darkness, The ",1996,Prague,Central Bohemia,Action
Looking for Richard ,1996,Warwick                     ,NY,Documentary
Trees Lounge ,1996,Silver Spring               ,MD,Drama
Normal Life ,1996,Sacramento                  ,CA,Crime
Get on the Bus ,1996,Blarney,Cork,Drama
Shadow Conspiracy ,1997,Ballyneety,Limerick,Thriller
Jude ,1996,Haymarket                   ,VA,Drama
Everyone Says I Love You ,1996,George Town, ,Comedy
William Shakespeare's Romeo + Juliet ,1996,Scottsdale                  ,AZ,Drama
Swingers ,1996,Cambridge                   ,MA,Comedy
Sleepers ,1996,Chalfont Saint Peter,England,Thriller
Aladdin and the King of Thieves ,1996,Birmingham,England,Animation
Shall We Dance ,1937,Den Haag,Zuid-Holland,Comedy
Crossfire ,1947,Den Haag,Zuid-Holland,Crime
Willy Wonka & the Chocolate Factory ,1971,Newmarket,Cork,Children
"Innocents, The ",1961,Irpin',Kiev,Drama
Sleeper ,1973,Grosseto,Tuscany,Comedy
Bananas ,1971,Pembroke Pines              ,FL,Comedy
"Fish Called Wanda, A ",1988,Waterford,Ontario,Comedy
Monty Python's Life of Brian ,1979,Carouge,Geneve,Comedy
Victor/Victoria ,1982,Chester                     ,CT,Comedy
"Candidate, The ",1972,Reston                      ,VA,Drama
"Great Race, The ",1965,Milan,Lombardy,Comedy
Bonnie and Clyde ,1967,Vancouver,British Columbia,Crime
"Old Man and the Sea, The ",1958,Alpharetta                  ,GA,Adventure
Dial M for Murder ,1954,Ringgold                    ,GA,Crime
Dirty Dancing ,1987,Wall                        ,NJ,Drama
Reservoir Dogs ,1992,Powell River,British Columbia,Crime
Platoon ,1986,Huntington Beach            ,CA,Drama
Weekend at Bernie's ,1989,Los Gatos                   ,CA,Comedy
Basic Instinct ,1992,Oslo,Oslo,Crime
"Doors, The ",1991,Oxford,England,Drama
"Crying Game, The ",1992,Alexandria                  ,VA,Drama
Glengarry Glen Ross ,1992,Rome,Lazio,Drama
Sophie's Choice ,1982,Random Lake                 ,WI,Drama
E.T. the Extra-Terrestrial ,1982,San Francisco               ,CA,Children
"Christmas Carol, A ",1938,Baluan,General Santos,Children
Days of Thunder ,1990,Brussels,Brussels (Bruxelles),Action
Top Gun ,1986,Bedford Corners             ,NY,Action
Rebel Without a Cause ,1955,Istanbul,Istanbul,Drama
"Streetcar Named Desire, A ",1951,Hilversum,Noord-Holland,Drama
Children of the Corn IV: The Gathering ,1996,Milford                     ,ME,Horror
Loser ,1991,Vancouver,British Columbia,Comedy
Microcosmos ,Microcosmos: Le peuple de l'herbe,Kidderminster,England,Documentary
Palookaville ,1996,Lausanne,Vaud,Action
"Funeral, The ",1996,Claygate,England,Crime
"Single Girl, A ","Fille seule, La",Laasby,Arhus,Drama
"Eighth Day, The ","Huitième jour, Le",Budaors,Pest,Drama
Drunks ,1995,London,England,Drama
"People vs. Larry Flynt, The ",1996,Santo Domingo City,Distrito Nacional,Comedy
Glory Daze ,1995,Croton On Hudson            ,NY,Drama
"Perfect Candidate, A ",1996,Vespasiano,Minas Gerais,Documentary
On Golden Pond ,1981,Nashville                   ,TN,Drama
"Return of the Pink Panther, The ",1975,Ottawa,Ontario,Comedy
Drop Dead Fred ,1991,Naples                      ,FL,Comedy
"Abyss, The ",1989,Bridgewater                 ,NJ,Action
"Fog, The ",1980,Washington                  ,DC,Horror
Escape from New York ,1981,Hagen,Lorraine,Action
"Howling, The ",1980,Taicheng,Guangdong,Horror
Jean de Florette ,1986,Groningen,Groningen,Drama
Manon of the Spring ,Manon des sources,Villars,Vaud,Drama
Private Benjamin ,1980,Huntersville                ,NC,Comedy
Monty Python and the Holy Grail ,1975,Cartersburg                 ,IN,Adventure
Hustler White ,1996,Flower Mound                ,TX,Romance
Entertaining Angels: The Dorothy Day Story ,1996,Rochester                   ,MI,Drama
"Line King: The Al Hirschfeld Story, The ",1996,Dubai,Dubayy,Documentary
When We Were Kings ,1996,Langnau,Zurich,Documentary
Wallace & Gromit: The Wrong Trousers ,1993,Mission,British Columbia,Animation
"Return of Martin Guerre, The ","Retour de Martin Guerre, Le",Columbus                    ,OH,Drama
Lesson Faust ,1994,Clondalkin,Dublin,Animation
"Children Are Watching Us, The ","Bambini ci guardano, I",Harold's Cross,Dublin,Drama
"Tin Drum, The ","Blechtrommel, Die",Sag Harbor                  ,NY,Drama
"Ruling Class, The ",1972,San Diego                   ,CA,Comedy
Mina Tannenbaum ,1994,Wilmington                  ,DE,Drama
Dear God ,1996,Toronto,Ontario,Comedy
Best of the Best 3: No Turning Back ,1995,Issaquah                    ,WA,Action
Bob Roberts ,1992,Phuket,Phuket,Comedy
Cinema Paradiso ,Nuovo cinema Paradiso,Athina,Attiki,Drama
"Cook the Thief His Wife & Her Lover, The ",1989,Geneve,Geneve,Comedy
Delicatessen ,1991,Chichester,England,Comedy
"Double Life of Veronique, The ","Double Vie de Véronique, La",Massagno,Ticino,Drama
Enchanted April ,1992,Cardiff,Wales,Drama
Paths of Glory ,1957,Ferney-Voltaire,Rhone-Alpes,Drama
"Grifters, The ",1990,Mableton                    ,GA,Crime
Hear My Song ,1991,San Diego                   ,CA,Comedy
"English Patient, The ",1996,La Louviere,Hainaut,Drama
Mediterraneo ,1991,Minneapolis                 ,MN,Comedy
My Left Foot ,1989,Mafra,Santa Catarina,Drama
"Sex, Lies, and Videotape ",1989,Ashford,England,Drama
Passion Fish ,1992,Edmonton,Alberta,Drama
Strictly Ballroom ,1992,London,England,Comedy
"Thin Blue Line, The ",1988,Lucca,Tuscany,Documentary
Tie Me Up! Tie Me Down! ,¡Átame!,Perth,Western Australia,Crime
Madonna: Truth or Dare ,1991,Arlington                   ,VA,Documentary
Paris Is Burning ,1990,Calgary,Alberta,Documentary
One Flew Over the Cuckoo's Nest ,1975,Chiefland                   ,FL,Drama
Cheech and Chong's Up in Smoke ,1978,Stavenger,Rogaland,Comedy
Star Wars: Episode V - The Empire Strikes Back ,1980,Begnins,Vaud,Action
"Princess Bride, The ",1987,Newton                      ,MA,Action
Raiders of the Lost Ark ,Indiana Jones and the Raiders of the Lost Ark,Den Haag,Zuid-Holland,Action
Brazil ,1985,Berikon,Aargau,Fantasy
Aliens ,1986,Santa Barbaraa,Heredia,Action
"Good, the Bad and the Ugly, The ","Buono, il brutto, il cattivo, Il",Churra,Murcia,Action
Withnail & I ,1987,Castle Rock                 ,CO,Comedy
12 Angry Men ,1957,Zug,Zug,Drama
Lawrence of Arabia ,1962,Ashford,England,Adventure
"Clockwork Orange, A ",1971,Rockville                   ,MD,Crime
To Kill a Mockingbird ,1962,Madrid,Madrid,Drama
Apocalypse Now ,1979,Aasgaardstrand,Vestfold,Action
Once Upon a Time in the West ,C'era una volta il West,Milano,Lombardy,Action
Star Wars: Episode VI - Return of the Jedi ,1983,Anieres,Geneve,Action
Wings of Desire ,"Himmel über Berlin, Der",Fresno                      ,TX,Drama
"Third Man, The ",1949,Fresno                      ,TX,Film-Noir
Goodfellas ,1990,Warwick,Quebec,Crime
Alien ,1979,Watford,England,Horror
Army of Darkness ,1993,Waterford,Waterford,Action
"Big Blue, The ","Grand bleu, Le",Pruszkow,Mazowieckie,Adventure
Ran ,1985,Hamilton,Hamilton,Drama
"Killer, The ",Die xue shuang xiong,Ottawa,Ontario,Action
Psycho ,1960,Montgomery                  ,TX,Crime
"Blues Brothers, The ",1980,Tokyo,Tokyo,Action
"Godfather: Part II, The ",1974,Manteno                     ,IL,Crime
Full Metal Jacket ,1987,Benoni,Gauteng,Drama
"Grand Day Out with Wallace and Gromit, A ",1989,Winter Haven                ,FL,Adventure
Henry V ,1989,Tranby,Buskerud,Action
Amadeus ,1984,Cork,Cork,Drama
"Quiet Man, The ",1952,Fort Lauderdale             ,FL,Drama
Once Upon a Time in America ,1984,Cranberry Twp               ,PA,Crime
Raging Bull ,1980,Arlington                   ,VA,Drama
Annie Hall ,1977,Lake Ronkonkoma,NY,Comedy
"Right Stuff, The ",1983,Alexandria                  ,VA,Drama
Stalker ,1979,Lipari,Sicilia,Drama
"Boot, Das ","Boat, The",Lipari,Sicilia,Action
"Sting, The ",1973,Lipari,Sicilia,Comedy
Harold and Maude ,1971,Bluffton                    ,SC,Comedy
Trust ,1990,Winter Spgs                 ,FL,Comedy
"Seventh Seal, The ","Sjunde inseglet, Det",Chelmsford                  ,MA,Drama
Local Hero ,1983,Cabinteely,Dublin,Comedy
"Terminator, The ",1984,Toronto,Ontario,Action
Dead Alive ,Braindead,Cincinnati                  ,OH,Comedy
